1世代目
1.2068906114719609 0.0	1.2098933429873788 30.0
0.6653496037022776 0.0	1.2098933429873788 30.0
0.190551495112866 0.0	1.3395303977230575 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.4503611972322132 30.0
1.2068906114719609 0.0	1.329231337249755 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.0432238084626193 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
13世代目
1.1645798377720598 0.0	1.4971103216744241 30.0
1.2068906114719609 0.0	1.4503611972322132 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.6478339893960907 30.0
1.2068906114719609 0.0	1.329231337249755 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.4971103216744241 30.0
0.1646101507831858 0.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
0.9081352268239814 0.0	1.329231337249755 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.1529531756463904 0.0	1.3395303977230575 30.0
1.2068906114719609 0.0	1.3703248777410124 30.0
1.1992763094471237 0.0	1.4063865628773642 30.0
1.1678581849332397 0.0	1.4503611972322132 30.0
1.1529531756463904 0.0	1.329231337249755 30.0
1.2068906114719609 0.0	1.2846091510167585 30.0
1.2068906114719609 0.0	1.3395303977230575 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
0.1646101507831858 0.0	0.7560160366211104 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
0.6653496037022776 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.289789617852131 30.0
14世代目
0.5506996789758297 1.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.4063865628773642 30.0
1.1383656779718163 1.0	1.7516723017365035 30.0
1.1758728187361254 1.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.3703248777410124 30.0
1.1529531756463904 1.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.2846091510167585 30.0
1.2068906114719609 1.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.329231337249755 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.4063865628773642 30.0
1.1979155992176498 1.0	1.3395303977230575 30.0
1.2068906114719609 1.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.4971103216744241 30.0
0.9984038179661631 1.0	1.4609495624800453 30.0
1.03515010161906 1.0	1.4971103216744241 30.0
1.2068906114719609 1.0	1.3703248777410124 30.0
0.9081352268239814 1.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.1529531756463904 0.0	1.2098933429873788 3.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.4063865628773642 30.0
1.2068906114719609 1.0	1.2846091510167585 30.0
1.2068906114719609 1.0	1.618625121982786 30.0
1.2068906114719609 1.0	1.2098933429873788 30.0
1.2068906114719609 1.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.4971103216744241 30.0
1.2068906114719609 1.0	1.4063865628773642 30.0
15世代目
1.2068906114719609 0.0	1.2098933429873788 30.0
1.03515010161906 0.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.329231337249755 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.1529531756463904 0.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.4784506631800038 30.0
1.1758728187361254 0.0	1.7516723017365035 30.0
1.1851800733998132 0.0	1.2098933429873788 30.0
1.203337612252799 0.0	1.4971103216744241 30.0
1.03515010161906 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.1529531756463904 0.0	1.4063865628773642 30.0
1.2068906114719609 0.0	1.2098933429873788 30.0
1.2068906114719609 0.0	1.4971103216744241 30.0
1.2068906114719609 0.0	1.4063865628773642 30.0
1.03515010161906 0.0	1.4063865628773642 30.0
